City_ID,City,Max Temp,Lat,Lng,Hotel Name
348,Conde,78.46,-7.2597,-34.9075,Pousada Beija Flor
350,Sur,72.64,22.5667,59.5289,Sur Plaza Hotel
354,Boda,72.32,4.3189,17.4695,
361,Talcahuano,56.88,-36.7167,-73.1167,departamento comodo
364,Korhogo,74.59,9.45,-5.6333,Hôtel Tchinbota
366,Salalah,75.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
368,Edgewater,62.98,28.9889,-80.9023,Islander Beach Resort
371,Christchurch,68.2,-43.5333,172.6333,The George
372,Anta,63.01,25.15,76.3,Agnisaman Kendra
373,Recreio,71.01,-21.525,-42.4692,Hotel Recreio
378,Lalmohan,66.72,22.3384,90.7419,Sundorbon courier service
383,Mitsamiouli,79.48,-11.3847,43.2844,Foyer ADM
386,Tubmanburg,73.63,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
390,Kindia,72.16,10.0569,-12.8658,LES EAUX DE KILISSI
391,Awjilah,74.7,29.1081,21.2869,
392,Panzhihua,52.72,26.5851,101.7128,Electric Power Hotel
393,Lukaya,69.85,-0.1489,31.8748,lemba salongo
396,Buchanan,78.53,5.8808,-10.0467,Kamaneahn Hotel Inc
400,Kruisfontein,59.99,-34.0033,24.7314,Oyster Bay House Rental
402,Punalur,74.88,9.0,76.9333,Motel Araam
403,Berbera,79.45,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
404,Deniliquin,77.74,-35.5333,144.9667,Riviana Motel
405,Jishou,53.19,28.3167,109.7167,7 Days Inn
407,Coolum Beach,73.22,-26.5333,153.1,Palmer Coolum Resort
408,Batticaloa,79.3,7.7102,81.6924,Grand Star Guest House
409,Sungaipenuh,70.43,-2.0833,101.3833,penginapan citra alam
411,San Jose,65.91,37.3394,-121.895,The Westin San Jose
412,Havelock,53.55,34.8791,-76.9013,Sherwood Motel
414,Miranda,71.73,3.2499,-76.2281,unidiversidad organica la utopia
415,Panna,57.7,24.7167,80.2,The Jewel of The Jungle
416,Labelle,66.22,26.7617,-81.4384,Port LaBelle Inn
418,Te Anau,70.14,-45.4167,167.7167,Kingsgate Hotel Te Anau
419,Nouadhibou,67.53,20.931,-17.0347,El Medina
421,Estelle,59.0,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
424,Lakhtar,69.31,22.85,71.7833,Firdaus Society
425,Denison,51.62,33.7557,-96.5367,Holiday Inn Express & Suites Denison North-Lake Texoma
426,Zamania,59.59,25.4333,83.5667,UMAR ZAMA KHAN PLACE
427,Carepa,75.51,7.7585,-76.6525,HOTEL EL EDÉN
429,Puerto Lleras,73.02,3.0223,-73.4044,
431,Valdivia,53.69,-39.8142,-73.2459,Hostal Entre Rios
432,Dwarka,76.5,22.2394,68.9678,Hotel Narayan Avezika Comfort
433,Ndele,74.01,8.4109,20.6473,
434,Karpathos,69.76,35.507,27.2132,Alex
439,Talen,61.12,23.5667,76.7167,होटल आनंद पैलेस
