City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
353,Margate,51.3813,1.3862,31.86,84,15,22.41
354,Boda,4.3189,17.4695,72.32,44,96,2.17
355,Qasigiannguit,68.8193,-51.1922,25.05,82,100,2.55
356,La Rioja,42.25,-2.5,35.38,98,100,14.88
357,Sicamous,50.8331,-118.9856,43.0,100,100,2.59
358,Borovichi,58.3878,33.9155,26.11,96,100,3.65
359,Kostino,58.9097,53.2691,33.03,97,100,11.3
360,Wiarton,44.7407,-81.1332,28.85,93,75,8.05
361,Talcahuano,-36.7167,-73.1167,56.88,62,0,17.27
362,Concarneau,47.875,-3.9225,43.57,90,64,8.01
363,Clyde River,70.4692,-68.5914,-5.57,84,89,19.57
364,Korhogo,9.45,-5.6333,74.59,39,1,3.06
365,Port Keats,-14.25,129.55,94.23,37,100,2.62
366,Salalah,17.0151,54.0924,75.29,38,0,3.44
367,Leningradskiy,69.3833,178.4167,-20.47,94,67,11.83
368,Edgewater,28.9889,-80.9023,62.98,42,100,7.11
369,Pforzheim,48.8833,8.7,33.12,97,100,5.95
370,Wewak,-3.5534,143.6268,85.1,69,100,2.53
371,Christchurch,-43.5333,172.6333,68.2,68,7,9.22
372,Anta,25.15,76.3,63.01,48,22,6.11
373,Recreio,-21.525,-42.4692,71.01,91,69,0.11
374,Grindavik,63.8424,-22.4338,41.47,100,90,12.66
375,Warrington,53.3925,-2.5802,32.11,86,0,4.61
376,Dongsheng,39.8161,109.9776,23.68,63,100,18.86
377,Knurow,50.2197,18.6507,33.91,97,100,9.24
378,Lalmohan,22.3384,90.7419,66.72,69,70,8.55
379,Glendive,47.1053,-104.7125,49.62,61,1,12.66
380,Athabasca,54.7169,-113.2854,35.42,86,100,10.8
381,Mandalgovi,45.7625,106.2708,16.29,87,100,12.57
382,Saint-Georges,12.0564,-61.7485,80.92,77,90,14.18
383,Mitsamiouli,-11.3847,43.2844,79.48,79,19,8.46
384,Sturgis,41.7992,-85.4192,33.84,93,90,4.61
385,Verkhniy Avzyan,53.5289,57.5372,12.65,90,100,1.86
386,Tubmanburg,6.8708,-10.8172,73.63,96,3,1.81
387,Tarko-Sale,64.9225,77.785,-9.17,97,100,5.46
388,Yulara,-25.2406,130.9889,84.04,16,0,11.5
389,Hay River,60.8156,-115.7999,4.86,93,98,11.27
390,Kindia,10.0569,-12.8658,72.16,84,83,2.62
391,Awjilah,29.1081,21.2869,74.7,21,96,14.52
392,Panzhihua,26.5851,101.7128,52.72,72,11,1.32
393,Lukaya,-0.1489,31.8748,69.85,93,66,3.06
394,Shache,38.4167,77.2406,27.55,42,100,4.34
395,San Andres,12.5847,-81.7006,80.62,83,75,11.5
396,Buchanan,5.8808,-10.0467,78.53,84,0,4.18
397,Lewiston,44.1003,-70.2148,30.54,69,90,0.0
398,Parainen,60.3067,22.301,18.05,79,87,14.38
399,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,54,75,6.71
400,Kruisfontein,-34.0033,24.7314,59.99,85,0,9.01
401,Ostrovnoy,68.0531,39.5131,12.31,79,94,10.09
402,Punalur,9.0,76.9333,74.88,96,100,3.27
403,Berbera,10.4396,45.0143,79.45,59,2,4.03
404,Deniliquin,-35.5333,144.9667,77.74,38,0,5.91
405,Jishou,28.3167,109.7167,53.19,69,99,1.45
406,Kirakira,-10.4544,161.9205,86.27,68,63,7.87
407,Coolum Beach,-26.5333,153.1,73.22,85,100,13.67
408,Batticaloa,7.7102,81.6924,79.3,84,100,8.66
409,Sungaipenuh,-2.0833,101.3833,70.43,66,100,3.47
410,Pitimbu,-7.4706,-34.8086,81.19,78,9,10.25
411,San Jose,37.3394,-121.895,65.91,55,20,5.75
412,Havelock,34.8791,-76.9013,53.55,53,100,6.67
413,Defiance,41.3334,-84.45,35.58,64,90,5.75
414,Miranda,3.2499,-76.2281,71.73,95,72,4.79
415,Panna,24.7167,80.2,57.7,51,100,2.86
416,Labelle,26.7617,-81.4384,66.22,46,56,6.4
417,Shubarshi,48.5872,57.1869,19.22,86,65,3.94
418,Te Anau,-45.4167,167.7167,70.14,30,0,2.33
419,Nouadhibou,20.931,-17.0347,67.53,69,100,20.49
420,Verkhnyaya Inta,65.9811,60.3094,14.76,94,100,10.47
421,Estelle,29.8458,-90.1067,59.0,77,75,0.0
422,Xinyang,32.1228,114.0656,49.73,76,84,3.2
423,Port Perry,44.1068,-78.9444,27.09,94,100,7.4
424,Lakhtar,22.85,71.7833,69.31,39,98,7.31
425,Denison,33.7557,-96.5367,51.62,55,1,6.33
426,Zamania,25.4333,83.5667,59.59,54,11,6.2
427,Carepa,7.7585,-76.6525,75.51,95,100,1.45
428,Aktau,43.65,51.2,34.38,47,11,11.07
429,Puerto Lleras,3.0223,-73.4044,73.02,96,54,2.64
430,Gagino,55.2314,45.0339,34.07,100,100,5.48
431,Valdivia,-39.8142,-73.2459,53.69,90,10,0.31
432,Dwarka,22.2394,68.9678,76.5,57,99,8.28
