City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Sterling,US,2021-11-28 20:04:41,39.0062,-77.4286,57.34,41,40,10.36
171,Krasnoselkup,RU,2021-11-28 20:04:41,65.7,82.4667,-17.03,100,72,5.66
172,Qasigiannguit,GL,2021-11-28 20:04:41,68.8193,-51.1922,17.85,88,100,5.01
173,Qaqortoq,GL,2021-11-28 20:04:42,60.7167,-46.0333,37.9,99,100,8.3
174,Souillac,MU,2021-11-28 20:04:42,-20.5167,57.5167,76.23,76,0,6.15
175,Tura,IN,2021-11-28 20:04:43,25.5198,90.2201,59.36,65,5,3.33
176,Harlingen,US,2021-11-28 20:02:49,26.1906,-97.6961,73.58,56,1,9.22
177,Luis Correia,BR,2021-11-28 20:04:43,-2.8792,-41.6669,87.8,74,20,17.27
178,Bulgan,MN,2021-11-28 20:04:44,48.8125,103.5347,12.13,74,54,5.99
179,Nyurba,RU,2021-11-28 20:04:44,63.2842,118.3319,-17.59,100,72,3.47
180,Batemans Bay,AU,2021-11-28 20:00:05,-35.7167,150.1833,54.39,79,61,3.83
181,Waipawa,NZ,2021-11-28 20:04:45,-41.4122,175.5153,61.43,72,73,4.43
182,Aleksandrov Gay,RU,2021-11-28 20:05:45,50.147,48.5704,37.17,79,76,10.09
183,Port Hardy,CA,2021-11-28 20:05:46,50.6996,-127.4199,48.69,96,100,4.88
184,Caravelas,BR,2021-11-28 20:05:46,-17.7125,-39.2481,75.27,92,33,10.45
185,Provideniya,RU,2021-11-28 20:05:47,64.3833,-173.3,-5.3,77,8,5.32
186,Shelburne,CA,2021-11-28 20:05:47,44.0787,-80.2041,26.49,96,100,4.12
187,Lavrentiya,RU,2021-11-28 20:05:47,65.5833,-171.0,-12.75,91,3,6.76
188,Staryy Nadym,RU,2021-11-28 20:05:48,65.6118,72.6842,-12.17,97,100,6.67
189,Honningsvag,NO,2021-11-28 20:05:48,70.9821,25.9704,13.75,92,90,24.16
190,Haines Junction,CA,2021-11-28 20:05:49,60.7522,-137.5108,-5.04,97,100,1.36
191,Rauma,FI,2021-11-28 20:05:49,61.1272,21.5113,15.84,75,100,9.35
192,Port Elizabeth,ZA,2021-11-28 20:05:49,-33.918,25.5701,66.67,76,25,20.42
193,Hamilton,US,2021-11-28 20:01:37,39.1834,-84.5333,45.23,37,0,12.93
194,Port-Gentil,GA,2021-11-28 20:05:50,-0.7193,8.7815,80.74,80,95,9.62
